DISTRITO,ESTABLECIMIENTO,DOMICILIO,DESDE,HASTA,CIRCUITO
LANUS,ESCUELA HOGAR SAGRADO CORAZON,HUMAHUACA 2456 E VIAMONTE Y PEDRAZA,9026,9033,273
LANUS,ESCUELA ES 38,PILCOMAYO 2563 E PEDRAZA Y WARNER,9034,9038,274
LANUS,INSTITUTO MAGDALENA ABRAIN,YERBAL N° 3026 ,9039,9041,274
LANUS,ESCUELA ES NRO 47,SAN MARTIN E SEGUI Y SAYOS,9042,9044,276
LAPRIDA,MUNICIPALIDAD,AV.SAN MARTIN N° 1160,9001,9001,524
LAS FLORES,ESCUELA ES N°1,AV. CARMEN N° 766,9001,9001,538
LEANDRO N. ALEM,ESCUELA EP N°1,AV. SOLARI N° 350,9001,9001,549
LEZAMA,ESCUEL EP. N° 1,AV. SAN MARTIN N° 401,9001,9001,0207L
LINCOLN,ESCUELA EP. N° 2,ALEM N° 1160,9001,9001,554
LOBERIA,ESCUELA ES N°2,BARREIRA N°50,9001,9001,568
LOBOS,ESCUELA EP. 19,E CASTRO NRO 1200 E 124 Y 126,9001,9001,575
LOMAS DE ZAMORA,ESCUELA EP N°16,DOCTOR ELIZALDE 3971 E/ OLIMPO Y PARDO,9001,9015,583
LOMAS DE ZAMORA,ESCUELA EST N°9,SOLDADO RODRIGUEZ N° 1300 E/ MAGALDI Y ROSAS,9016,9030,583
LOMAS DE ZAMORA,ESCUELA EP N°92,M. PEDRAZA Y SOLD. BRITO 1451,9031,9040,583
LOMAS DE ZAMORA,ESCUELA ES N°12,LARROQUE 150 E ACEVEDO Y ALEM,9041,9045,584
LOMAS DE ZAMORA,INST.NTRA.SRA.DE LUJAN,CASTELI 99 E/ ESTRADA Y AV. SANTA FE,9046,9049,586
LOMAS DE ZAMORA,ESCUELA EP 21 - JUSTO JOSE DE URQUIZA,J.M. PENNA 99 E/ LAPRIDA Y BOEDO,9050,9058,586
LOMAS DE ZAMORA,ESCUELA DE DANZAS TRADICIONALES,AV. H. YRIGOYEN N° 10335 E/ GRAL PAZ Y PJE. VICTORIA,9059,9063,590
LOMAS DE ZAMORA,CLUB COLON,"COLON 865 ESQ,. AV. EVA PERON",9064,9066,590
LOMAS DE ZAMORA,COLEGIO MARIA MONTESSORI,SEGUROLA N° 935 E/SANTA ROSA Y SANTA TERESA TURDERA,9067,9067,592
LOMAS DE ZAMORA,COLEGIO NTRA. SRA. DEL ROSARIO,SEGUI N° 339 E/ HERNANDEZ Y UCRANIA LAVALLOL,9068,9070,593
LOMAS DE ZAMORA,ESCUELA EP. 44 /ES NRO 53,ISLANDIA 600 E MORAZAN Y FILARDI,9071,9080,583
LOMAS DE ZAMORA,ESCUELA EP N°92,M. PEDRAZA Y SOLD. BRITO 1451,9081,9082,583
LUJAN,MUNICIPALIDAD DE LUJAN,SAN MARTIN 550 ENTRE COLON Y MORENO,9001,9003,596
MAGDALENA,ESCUELA EST N°1,BRENAN 1511,9001,9001,606
MAIPU,ESCUELA EP N°1/ES N°1,MADERO 455,9001,9001,615
MALVINAS ARGENTINAS,COLEGIO JOSE INGENIEROS,SAN LORENZO 1146 E STOPPLER Y SOLER,9001,9004,399
